example_id,source_id,quantity,value,units,evidence_status,method,caveat,sheet_page
D01,S01,approx_max_internal_width,6.9,m,documented,Transcribed source value,Approximate published schedule; not external footprint or statistical range.,PDF p23
D01,S01,approx_max_internal_depth,8.2,m,documented,Transcribed source value,Approximate published schedule; not external footprint or statistical range.,PDF p23
D01,S01,storeys,2,storeys,documented,Transcribed source value,,PDF p23
T02,S01,approx_max_internal_width,3.9,m,documented,Transcribed source value,Approximate published schedule; not external footprint or statistical range.,PDF p7
T02,S01,approx_max_internal_depth,8.0,m,documented,Transcribed source value,Approximate published schedule; not external footprint or statistical range.,PDF p7
T02,S01,storeys,2,storeys,documented,Transcribed source value,,PDF p7
D01,S01,frontage_width,7520,mm,documented,Transcribed source value,Published frontage; do not derive exterior depth from internal area.,PDF p24
D01,S01,gross_internal_area_schedule,112.2,m2,documented,Transcribed source value,Adjacent p24 gives 112.35 m2; discrepancy preserved.,PDF p23
D01,S01,gross_internal_area_description,112.35,m2,documented,Transcribed source value,Schedule p23 gives 112.2 m2; not silently reconciled.,PDF p24
D01,S01,design_person_places,6,design persons,documented,Transcribed source value,"Design designation, not surveyed occupancy.",PDF p24
T02,S01,frontage_width,4500,mm,documented,Transcribed source value,,PDF p8
T02,S01,gross_internal_area,62,m2,documented,Transcribed source value,,PDF pp7-8
T02,S01,design_person_places,4,design persons,documented,Transcribed source value,"Design designation, not surveyed occupancy.",PDF p8
D02,S02,width,15.9,m,documented,Transcribed source value,Existing house reported in planning table; not independently surveyed.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,depth_west,11.4,m,documented,Transcribed source value,Existing house reported in planning table; not independently surveyed.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,depth_east,15.2,m,documented,Transcribed source value,Existing house reported in planning table; not independently surveyed.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,eaves_height,5.4,m,documented,Transcribed source value,Existing house reported in planning table; not independently surveyed.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,roof_height,8.2,m,documented,Transcribed source value,Existing house reported in planning table; not independently surveyed.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,proposed_width,16.6,m,documented,Transcribed source value,2019 proposal; construction not verified. Not the existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,proposed_max_depth,17,m,documented,Transcribed source value,2019 proposal; construction not verified. Not the existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,proposed_eaves,5.8,m,documented,Transcribed source value,2019 proposal; construction not verified. Not the existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,proposed_ridge,9,m,documented,Transcribed source value,2019 proposal; construction not verified. Not the existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,proposed_link_roof_height,8,m,documented,Transcribed source value,2019 proposal; construction not verified. Not the existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,proposed_west_boundary_gap,0.85,m,documented,Transcribed source value,2019 proposal; construction not verified. Not the existing house.,PDF pp1-2; p7 comparison table (§8.2)
D02,S02,proposed_east_boundary_gap,0.8,m,documented,Transcribed source value,2019 proposal; construction not verified. Not the existing house.,PDF pp1-2; p7 comparison table (§8.2)
D03,S03,width,9.5,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.6
D03,S03,depth,9.5,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.6
D03,S03,eaves_height,5.5,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.6
D03,S03,ridge_height,7.8,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.6
D03,S03,storeys,3,storeys,documented,Transcribed source value,Reported count may include roof accommodation; no equal floor-height inference.,p92 §4.6
A01-C,S03,width,24,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.4
A01-C,S03,depth,7.8,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.4
A01-C,S03,eaves_height,6.5,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.4
A01-C,S03,ridge_height,8.5,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.4
A01-C,S03,storeys,3,storeys,documented,Transcribed source value,Reported count may include roof accommodation; no equal floor-height inference.,p92 §4.4
A01-C,S03,dwelling_count,6,flats,documented,Transcribed source value,Per proposed block; B and B1 each six. Not people.,p92 §4.4
A01-B,S03,width,18,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.3
A01-B,S03,depth,9.8,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.3
A01-B,S03,eaves_height,6.5,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.3
A01-B,S03,ridge_height,8.5,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.3
A01-B,S03,storeys,3,storeys,documented,Transcribed source value,Reported count may include roof accommodation; no equal floor-height inference.,p92 §4.3
A01-B,S03,dwelling_count,6,flats,documented,Transcribed source value,Per proposed block; B and B1 each six. Not people.,p92 §4.3
A01-A,S03,width,18.5,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.2
A01-A,S03,depth,16,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.2
A01-A,S03,eaves_height,9,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.2
A01-A,S03,ridge_height,11.5,m,documented,Transcribed source value,Documented 2018 proposal; as-built not verified.,PDF/printed p92 §4.2
A01-A,S03,storeys,4,storeys,documented,Transcribed source value,Reported count may include roof accommodation; no equal floor-height inference.,p92 §4.2
A01-A,S03,dwelling_count,10,flats,documented,Transcribed source value,Per proposed block; B and B1 each six. Not people.,p92 §4.2
T01,S04,storeys,2,storeys,documented,Transcribed source value,,Details
T01,S04,facade_bays,2,bays,documented,Transcribed source value,Per house for T01/M01; whole front range for M02/W02.,Details
M01,S06,storeys,2,storeys,documented,Transcribed source value,,Details; IOE01/04549/25 photo link
M01,S06,facade_bays,2,bays,documented,Transcribed source value,Per house for T01/M01; whole front range for M02/W02.,Details; IOE01/04549/25 photo link
M02,S07,storeys,2,storeys,documented,Transcribed source value,,Details; archive photograph
M02,S07,facade_bays,9,bays,documented,Transcribed source value,Per house for T01/M01; whole front range for M02/W02.,Details; archive photograph
W02,S15,storeys,3,storeys,documented,Transcribed source value,,Details: plan; front; rear courtyard; interiors
W02,S15,facade_bays,9,bays,documented,Transcribed source value,Per house for T01/M01; whole front range for M02/W02.,Details: plan; front; rear courtyard; interiors
M01,S06,No107_attachment_storeys,1,storeys,documented,Transcribed source value,,Details; IOE01/04549/25 photo link
T03,S05,street_width,14,m,documented,Transcribed source value,Architect description; measurement endpoints not given. Not carriageway width.,Project text; 059_N252 photograph
A02,S09,main_storeys,4,storeys,documented,Transcribed source value,Plus penthouse.,Details: plan and exterior
A02,S09,listing_flat_count,36,flats,documented,Transcribed source value,Historical/altered listing count; not current occupied households.,Details: plan and exterior
A03,S10,Type_D_apartment_area,75,m2,documented,Transcribed source value,Published unit area; measurement convention not stated; not block floorplate.,Housing Choice: types A–D; Precision-Made; Space for Community
A03,S10,paired_ground_flat_area,51,m2,documented,Transcribed source value,Separate type; not Type D.,Housing Choice: types A–D; Precision-Made; Space for Community
A03,S10,paired_first_flat_area,61,m2,documented,Transcribed source value,Separate type; not Type D.,Housing Choice: types A–D; Precision-Made; Space for Community
C03,S10,whole_development_homes,42,homes,documented,Transcribed source value,Same project as A03; houses and flats combined.,Housing Choice: types A–D; Precision-Made; Space for Community
C01,S11,original_block_storeys,4,storeys,documented,Transcribed source value,,"Details: plan, exterior, access"
C01,S11,court_front_window_range,7,windows across,documented,Transcribed source value,,"Details: plan, exterior, access"
C01,S11,back_window_range,6,windows across,documented,Transcribed source value,,"Details: plan, exterior, access"
C02,S12,whole_estate_flats,211,flats,documented,Transcribed source value,Two blocks; no per-wing allocation inferred.,Details
C02,S12,whole_estate_shops,17,shops,documented,Transcribed source value,Original units; some combined.,Details
C02,S12,storeys,7,storeys,documented,Transcribed source value,Includes lower-ground floor; upper two set back.,Details
W01,S13,initial_terraced_houses,4,houses,documented,Transcribed source value,,Printed p63
W01,S13,early_rear_range_storeys,2,storeys,documented,Transcribed source value,,Printed p63
W01,S13,peak_employment_upper_bound,60,workers,documented,Transcribed source value,Up to 60 in its heyday; no date or floor-area denominator supplied.,Printed p64
MAT01,S17,brick_length,215,mm,documented,Transcribed source value,Modern standard format; not a measurement of historic masonry.,What is a standard format brick?
MAT01,S17,brick_width,102.5,mm,documented,Transcribed source value,Modern standard format; not a measurement of historic masonry.,What is a standard format brick?
MAT01,S17,brick_height,65,mm,documented,Transcribed source value,Modern standard format; not a measurement of historic masonry.,What is a standard format brick?
MAT02,S18,plain_tile_length,265,mm,documented,Transcribed source value,Specific manufacturer detail 800CPT35 A; not every clay roof.,800CPT35 revision A; sheet1
MAT02,S18,plain_tile_width,165,mm,documented,Transcribed source value,Specific manufacturer detail 800CPT35 A; not every clay roof.,800CPT35 revision A; sheet1
MAT02,S18,eaves_tile_length,215,mm,documented,Transcribed source value,Specific manufacturer detail 800CPT35 A; not every clay roof.,800CPT35 revision A; sheet1
