source_id,title,publisher_author,url,sheet_page,access_date,reuse_standing,inspection
S01,Design of Lifetime Homes (2009 study; published July 2012),Hunt Thomson / HTA Architects for DCLG,https://data.parliament.uk/DepositedPapers/Files/DEP2012-1192/Designoflifetimehomes_final.pdf,PDF pp7-9 LTH 201; pp23-25 LTH 207,2026-09-06,Publication information OGL; drawing sheets expressly reserve HTA copyright and prohibit copying/scaling without agreement. Original analytical dimension rectangles only.,"Downloaded; plans LTH 201 and LTH 207 visually inspected; schedule dimensions transcribed, not scaled."
S02,33 Porson Road; 19/0859/FUL; committee 6 November 2019,Cambridge City Council / Andy White,https://democracy.cambridge.gov.uk/documents/s48056/190859FUL,PDF pp1-2; p7 comparison table (§8.2),2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Online report inspected; download and screenshot unavailable; no plan measured.
S03,Land at Mill Road Epsom; 18/00271/FUL; committee 13 December 2018,Epsom and Ewell Borough Council / Tom Bagshaw,https://democracy.epsom-ewell.gov.uk/documents/g569/Public%20reports%20pack%2013th-Dec-2018%2019.30%20Planning%20Committee.pdf?T=10,Printed/PDF pp91-92; §4.2-4.6,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,"Downloaded; p92 dimension schedule visually inspected. Proposal dimensions, not verified as-built."
S04,"17–23 Constance Street, Saltaire; NHLE 1283154",Historic England,https://historicengland.org.uk/listing/the-list/list-entry/1283154,Details,2026-09-06,Official entry text OGL v3 except stated exceptions; archive/contributor photographs and maps separately copyrighted; linked only.,Source text inspected online
S05,Goldsmith Street,Mikhail Riches with Cathy Hawley; client Norwich City Council,https://www.mikhailriches.com/project/goldsmith-street/,Project text; 059_N252 photograph,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Project text and linked street photograph visually inspected; no individual footprint measured.
S06,24–32 Shirley Street and 107 Saltaire Road; NHLE 1133558,Historic England,https://historicengland.org.uk/listing/the-list/list-entry/1133558,Details; IOE01/04549/25 photo link,2026-09-06,Official entry text OGL v3 except stated exceptions; archive/contributor photographs and maps separately copyrighted; linked only.,Source text inspected online
S07,15–17 Victoria Road; NHLE 1133525,Historic England,https://historicengland.org.uk/listing/the-list/list-entry/1133525,Details; archive photograph,2026-09-06,Official entry text OGL v3 except stated exceptions; archive/contributor photographs and maps separately copyrighted; linked only.,Source text inspected online
S08,Historic Townscape Characterisation: Lincoln Townscape Assessment,Historic England / Lincoln townscape study,https://historicengland.org.uk/research/results/reports/7032/HistoricTownscapeCharacterisationTheLincolnTownscapeAssessmentacasestudy,West Parade / Beaumont Fee character extract; Figure 5,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Character text and figure caption inspected; photographic metric extraction not attempted.
S09,Isokon Flats; NHLE 1379280,Historic England,https://historicengland.org.uk/listing/the-list/list-entry/1379280,Details: plan and exterior,2026-09-06,Official entry text OGL v3 except stated exceptions; archive/contributor photographs and maps separately copyrighted; linked only.,Source text inspected online
S10,Marmalade Lane: Housing Choice and construction,Cambridge Cohousing / Marmalade Lane,https://www.marmaladelane.co.uk/index.html,Housing Choice: types A–D; Precision-Made; Space for Community,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,"Text inspected; type D image inspected and is an unscaled axonometric, NOT a floor plan; brochure link returned 404."
S11,Peabody Estate Blackfriars; NHLE 1376595,Historic England,https://historicengland.org.uk/listing/the-list/list-entry/1376595,"Details: plan, exterior, access",2026-09-06,Official entry text OGL v3 except stated exceptions; archive/contributor photographs and maps separately copyrighted; linked only.,Source text inspected online
S12,Lichfield Court; NHLE 1390787,Historic England,https://historicengland.org.uk/listing/the-list/list-entry/1390787,Details,2026-09-06,Official entry text OGL v3 except stated exceptions; archive/contributor photographs and maps separately copyrighted; linked only.,Source text inspected online
S13,"Conserve as Found: the JW Evans Silverware Factory, Birmingham","ASCHB Transactions vol34 (2011), conservation project account",https://www.aschb.org.uk/wp-content/uploads/2022/01/Vol-34.pdf,Printed pp61-71; p63 Fig4 (PDF p65); p64 employment,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Downloaded; aerial roof/rear/front photograph Fig4 visually inspected. Dimensions not extracted from perspective.
S14,"J W Evans roofs, DP045426, 15 May 2008",Historic England Archive / Peter Williams,https://historicengland.org.uk/images-books/photos/item/DP045426,DP045426; from Glass Room 54S04,2026-09-06,© Historic England Archive; linked only.,Photo catalogue caption inspected; image not inspected at full resolution.
S15,Coffin Furniture Works; NHLE 1380231,Historic England,https://historicengland.org.uk/listing/the-list/list-entry/1380231,Details: plan; front; rear courtyard; interiors,2026-09-06,Official entry text OGL v3 except stated exceptions; archive/contributor photographs and maps separately copyrighted; linked only.,Source text inspected online
S16,"Conserving Georgian and Victorian terraced housing, HEAG277 (2020)",Historic England,https://historicengland.org.uk/images-books/publications/conserving-georgian-victorian-terraced-housing/heag277-conserving-georgian-and-victorian-terraced-housing/,"Printed pp6,8-9; roof and rear-extension sections",2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Online PDF text inspected; no dimensions scaled.
S17,Standard Format Bricks,Wienerberger UK,https://www.wienerberger.co.uk/products/brick/standard-format-bricks.html,What is a standard format brick?,2026-09-06,Copyright or reuse permission not established; linked only; no image redistributed.,Source text inspected online
