example_id,source_id,quantity,value,units,metric_value,metric_units,evidence_status,evidence_kind,method,sheet_page,caveat
US01,US1,main_width,20,ft,6.096,m,documented,design model,Published explicit dimension or schedule,PDF12 / p11,"Preapproved design, not as-built."
US01,US1,main_depth,28,ft,8.5344,m,documented,design model,Published explicit dimension or schedule,PDF12 / p11,"Preapproved design, not as-built."
US01,US1,full_storeys,2,storeys,2,storeys,documented,design model,Published explicit dimension or schedule,PDF12 / p11,"Preapproved design, not as-built."
US01,US1,finished_gross,1120,ft2,104.0514048,m2,documented,design model,Published explicit dimension or schedule,PDF12 / p11,"Preapproved design, not as-built."
US01,US1,dwellings,1,dwellings,1,dwellings,documented,design model,Published explicit dimension or schedule,PDF12 / p11,"Preapproved design, not as-built."
US02,US1,main_width,22,ft,6.7056,m,documented,design model,Published explicit dimension or schedule,PDF20 / p19,"Preapproved design, not as-built."
US02,US1,main_depth,40,ft,12.192,m,documented,design model,Published explicit dimension or schedule,PDF20 / p19,"Preapproved design, not as-built."
US02,US1,full_storeys,2,storeys,2,storeys,documented,design model,Published explicit dimension or schedule,PDF20 / p19,"Preapproved design, not as-built."
US02,US1,finished_gross,1760,ft2,163.5093504,m2,documented,design model,Published explicit dimension or schedule,PDF20 / p19,"Preapproved design, not as-built."
US02,US1,dwellings,2,dwellings,2,dwellings,documented,design model,Published explicit dimension or schedule,PDF20 / p19,"Preapproved design, not as-built."
US01,US1,overall_depth_schedule,36,ft,10.9728,m,documented,published value,Published explicit dimension or schedule,PDF12 / p11,Includes porch; drawn body plus 8 ft 1 in porch is one inch longer.
US01,US1,porch_depth_drawn,97,in,2.4638,m,documented,published value,Published explicit dimension or schedule,PDF12 / p11,One-inch difference from schedule retained.
US02,US1,overall_depth_schedule,48,ft,14.6304,m,documented,published value,Published explicit dimension or schedule,PDF20 / p19,Includes porch; drawn body plus 8 ft 1 in porch is one inch longer.
US02,US1,porch_depth_drawn,97,in,2.4638,m,documented,published value,Published explicit dimension or schedule,PDF20 / p19,One-inch difference from schedule retained.
US03,US1,max_main_width,40,ft,12.192,m,documented,design model,Published explicit dimension or schedule,PDF22 / p21,Stepped body; schedule overall 72 ft differs from drawn 66 ft + 5 ft 8 in. Never use max box as floor area.
US03,US1,main_depth,66,ft,20.1168,m,documented,design model,Published explicit dimension or schedule,PDF22 / p21,Stepped body; schedule overall 72 ft differs from drawn 66 ft + 5 ft 8 in. Never use max box as floor area.
US03,US1,front_part_depth,40,ft,12.192,m,documented,design model,Published explicit dimension or schedule,PDF22 / p21,Stepped body; schedule overall 72 ft differs from drawn 66 ft + 5 ft 8 in. Never use max box as floor area.
US03,US1,rear_part_width,34,ft,10.3632,m,documented,design model,Published explicit dimension or schedule,PDF22 / p21,Stepped body; schedule overall 72 ft differs from drawn 66 ft + 5 ft 8 in. Never use max box as floor area.
US03,US1,rear_part_depth,26,ft,7.9248,m,documented,design model,Published explicit dimension or schedule,PDF22 / p21,Stepped body; schedule overall 72 ft differs from drawn 66 ft + 5 ft 8 in. Never use max box as floor area.
US03,US1,stoop_projection,68,in,1.7272,m,documented,design model,Published explicit dimension or schedule,PDF22 / p21,Stepped body; schedule overall 72 ft differs from drawn 66 ft + 5 ft 8 in. Never use max box as floor area.
US03,US1,overall_depth_schedule,72,ft,21.9456,m,documented,design model,Published explicit dimension or schedule,PDF22 / p21,Stepped body; schedule overall 72 ft differs from drawn 66 ft + 5 ft 8 in. Never use max box as floor area.
US03,US1,finished_gross,4840,ft2,449.6507136,m2,documented,design model,Published explicit dimension or schedule,PDF22 / p21,Stepped body; schedule overall 72 ft differs from drawn 66 ft + 5 ft 8 in. Never use max box as floor area.
US03,US1,full_storeys,2,storeys,2,storeys,documented,design model,Published explicit dimension or schedule,PDF22 / p21,Stepped body; schedule overall 72 ft differs from drawn 66 ft + 5 ft 8 in. Never use max box as floor area.
US03,US1,dwellings,6,dwellings,6,dwellings,documented,design model,Published explicit dimension or schedule,PDF22 / p21,Stepped body; schedule overall 72 ft differs from drawn 66 ft + 5 ft 8 in. Never use max box as floor area.
US04,US2,site_area,5000,ft2,464.5152,m2,documented,published value,Published explicit dimension or schedule,PDF129 / C-9,Built profile; site area is not building footprint.
US04,US2,unit_area,1332,ft2,123.74684928,m2,documented,published value,Published explicit dimension or schedule,PDF129 / C-9,Built profile; site area is not building footprint.
US04,US2,dwellings,2,dwellings,2,dwellings,documented,published value,Published explicit dimension or schedule,PDF129 / C-9,Built profile; site area is not building footprint.
US04,US2,parking,4,spaces,4,spaces,documented,published value,Published explicit dimension or schedule,PDF129 / C-9,Built profile; site area is not building footprint.
US05,US2,site_area,6144,ft2,570.79627776,m2,documented,published value,Published explicit dimension or schedule,PDF153 / C-33,Built profile; site area is not building footprint.
US05,US2,unit_area_min,747,ft2,69.39857088,m2,documented,published value,Published explicit dimension or schedule,PDF153 / C-33,Built profile; site area is not building footprint.
US05,US2,unit_area_max,1017,ft2,94.48239168,m2,documented,published value,Published explicit dimension or schedule,PDF153 / C-33,Built profile; site area is not building footprint.
US05,US2,dwellings,12,dwellings,12,dwellings,documented,published value,Published explicit dimension or schedule,PDF153 / C-33,Built profile; site area is not building footprint.
US05,US2,basement_parking,12,spaces,12,spaces,documented,published value,Published explicit dimension or schedule,PDF153 / C-33,Built profile; site area is not building footprint.
US06,US3,unit_ground_width,16,ft,4.8768,m,documented,design proposal,Published explicit dimension or schedule,PDF13 / sheet12,"Proposal. Ground A–C plans; height values left datum D, not entire sloping row."
US06,US3,unit_ground_depth,30,ft,9.144,m,documented,design proposal,Published explicit dimension or schedule,PDF13 / sheet12,"Proposal. Ground A–C plans; height values left datum D, not entire sloping row."
US06,US3,local_ground_floor_height,13,ft,3.9624,m,documented,design proposal,Published explicit dimension or schedule,PDF17 / sheet16,"Proposal. Ground A–C plans; height values left datum D, not entire sloping row."
US06,US3,local_upper_floor_height,10,ft,3.048,m,documented,design proposal,Published explicit dimension or schedule,PDF17 / sheet16,"Proposal. Ground A–C plans; height values left datum D, not entire sloping row."
US06,US3,local_parapet_above_deck,3,ft,0.9144,m,documented,design proposal,Published explicit dimension or schedule,PDF17 / sheet16,"Proposal. Ground A–C plans; height values left datum D, not entire sloping row."
US06,US3,project_live_work_units,8,units,8,units,documented,design proposal,Published explicit dimension or schedule,Project programme,"Proposal. Ground A–C plans; height values left datum D, not entire sloping row."
US06,US3,standing_seam_module,24,in,0.6096,m,documented,design proposal,Published explicit dimension or schedule,PDF17 / sheet16,"Proposal. Ground A–C plans; height values left datum D, not entire sloping row."
NL01,NL1,4A_beukmaat,5.1,m,5.1,m,documented,design proposal,Published explicit dimension or schedule,PDF15 / p14,Beukmaat not established exterior width. 4B has an additional pitched cap; GBO not gross area.
NL01,NL1,4A_depth,9.4,m,9.4,m,documented,design proposal,Published explicit dimension or schedule,PDF15 / p14,Beukmaat not established exterior width. 4B has an additional pitched cap; GBO not gross area.
NL01,NL1,4A_GBO_per_home,83,m2,83,m2,documented,design proposal,Published explicit dimension or schedule,PDF15 / p14,Beukmaat not established exterior width. 4B has an additional pitched cap; GBO not gross area.
NL01,NL1,4A_homes_in_block,3,dwellings,3,dwellings,documented,design proposal,Published explicit dimension or schedule,PDF15 / p14,Beukmaat not established exterior width. 4B has an additional pitched cap; GBO not gross area.
NL01,NL1,4A_full_storeys,2,storeys,2,storeys,documented,design proposal,Published explicit dimension or schedule,PDF15 / p14,Beukmaat not established exterior width. 4B has an additional pitched cap; GBO not gross area.
NL01,NL1,4B_beukmaat,5.1,m,5.1,m,documented,design proposal,Published explicit dimension or schedule,PDF15 / p14,Beukmaat not established exterior width. 4B has an additional pitched cap; GBO not gross area.
NL01,NL1,4B_depth,9.4,m,9.4,m,documented,design proposal,Published explicit dimension or schedule,PDF15 / p14,Beukmaat not established exterior width. 4B has an additional pitched cap; GBO not gross area.
NL01,NL1,4B_GBO_per_home,109,m2,109,m2,documented,design proposal,Published explicit dimension or schedule,PDF15 / p14,Beukmaat not established exterior width. 4B has an additional pitched cap; GBO not gross area.
NL01,NL1,4B_homes_in_block,4,dwellings,4,dwellings,documented,design proposal,Published explicit dimension or schedule,PDF15 / p14,Beukmaat not established exterior width. 4B has an additional pitched cap; GBO not gross area.
NL01,NL1,4B_full_storeys,2,storeys,2,storeys,documented,design proposal,Published explicit dimension or schedule,PDF15 / p14,Beukmaat not established exterior width. 4B has an additional pitched cap; GBO not gross area.
