source_id,title,author,publication_date,url,sheet_page,access_date,evidence_standing,inspection,image_reuse
US1,"South Bend Neighborhood Infill: Pre-approved, ready-to-build housing",City of South Bend; catalogue design team,2025-10-07,https://southbendin.gov/wp-content/uploads/2023/06/SBBT_Catalog_23-0506-lowres.pdf,"PDF 12,20,22 / printed 11,19,21",2026-09-06,"Design models, not built surveys; actual cover date overrides stale URL",Downloaded; selected plans visually inspected with PDFKit. Parent independently inspected sixplex.,No image licence established; link only.
US2,The Infill Design Toolkit: Medium-Density Residential Development,City of Portland,2008-12,https://www.portland.gov/sites/default/files/2020-01/toolkit1208-optimized_bkmrks.pdf,PDF 80/A-2;129/C-9;153/C-33,2026-09-06,Built profiles plus separate proposed prototypes; not current code guidance,Downloaded; selected pages/photos visually inspected; parent independently inspected C-33.,No image licence established; link only.
US3,"15th Live Work, 355 15th Ave: Design Review",Chris Pardo Design: Elemental Architecture / City of Seattle,2013-01-15,https://www.seattle.gov/dpd/AppDocs/GroupMeetings/DRProposal3012121AgendaID4348.pdf,"PDF 13,16,17,22 / sheets 12,15,16,21",2026-09-06,Proposal; built status unverified,Downloaded despite web-tool 403; plans/roof/elevation/materials visually inspected. Parent checked elevation.,No image licence established; link only.
NL1,"Hogekwartier te Amersfoort; appendix Ontwerp Woningprogramma, Veld 3–4",Alcedo / Municipality of Amersfoort,2018-04-25,https://www.amersfoort.nl/ro-online/NL.IMRO.0307.BP00141-0301/b_NL.IMRO.0307.BP00141-0301_rb3.pdf,"PDF 15 / printed 14, block schedule",2026-09-06,Design proposal; beukmaat is not established external width; GBO is usable area,Downloaded 32MB PDF; schedule and axon independently visually inspected; indexed schedule differs.,All rights reserved on source; no redistribution.
NL2,51 gasloze en energieneutrale woningen Het Larense Veld in Almere Haven,BAM Wonen; Schippers Architecten,Delivered 2019-08,https://www.bamwonen.nl/projecten/51-gasloze-en-energieneutrale-woningen-het-larense-veld-in-almere-haven,Project description / Cijfers en feiten,2026-09-06,Builder-reported built project; approximate/ranged dimensions not paired unit records,"Primary text inspected; photographs linked, not measured.",No image licence established; link only.
DE1,"Deutsche Wohngebäudetypologie, second expanded edition","IWU: Loga, Stein, Diefenbach, Born",2015-02-10,https://www.iwu.de/fileadmin/publikationen/gebaeudebestand/episcope/2015_IWU_LogaEtAl_Deutsche-Wohngeb%C3%A4udetypologie.pdf,PDF 172 RH_F;240 MFH_E,2026-09-06,Energy typology examples; repeated heating variants are not independent buildings,"Downloaded; RH_F photo visually inspected, MFH_E text inspected.",Attribute IEE Projects TABULA + EPISCOPE (www.episcope.eu); source files/photos not redistributed; see RIGHTS.
DE2,"cb19, Christburger Straße 19",zanderroth,2009–2014,https://www.zanderroth.de/de/projekte/cb19/340,Project text,2026-09-06,Built courtyard infill; counts/area cover two buildings,Indexed primary text inspected; direct web open failed; images not visually inspected.,Photos Simon Menges; link only.
DE3,Wohnregal building,"Marc Frohn / Mario Rojas, ARQ 105",2020,https://publikationen.bibliothek.kit.edu/1000125224/90508743,PDF 2/95;3/96;5/98;7/100,2026-09-06,Architect-authored built project report,Downloaded; plan and section inspected; parent independently checked section.,Photos David von Becker / Tobias Wootton; no reuse permission established.
DE4,Wohnregal,FAR frohn & rojas,2016–2019,https://www.f-a-r.net/projects/en_projects/119_wohnregal/,"Project text, axon and staircase links",2026-09-06,Primary corroboration of construction and six storeys,Text inspected; page has PHP warnings but project text readable.,Completed photos David von Becker; link only.
FR1,"Transformation of 530 dwellings, blocks G H I, Grand Parc",Lacaton & Vassal / Druot / Hutin,2016 completion text; 2017 header,https://www.lacatonvassal.com/index.php?idp=80,Project text / programme,2026-09-06,Built transformation; date and existing-area definitions conflict within source,Primary text inspected; no overall building dimensions inferred.,No image licence established; link only.
NF1,Nottingham Energiesprong homes,Energiesprong UK / Nottingham City Homes / Melius / Studio Partington,2017 pilot; later phases described,https://www.energiesprong.uk/projects/nottingham,Full list of measures,2026-09-06,Built retrofit phases; first pilot and later systems differ,Primary project text inspected; not a measured building survey.,No image licence established; link only.
