source_id,title,author,date,url,pages,standing,inspection,claim,uncertainty,reuse,accessed,local
CA1,Mid-Century Modern in the City of Sacramento: Historic Context Statement and Survey Results,GEI Consultants; Mead & Hunt; City of Sacramento,2017-09-30,https://www.cityofsacramento.gov/content/dam/portal/cdd/Planning/Urban-Design/Preservation/MCM-Context-Statement-Report_Update-WEBSITE.pdf,"PDF 68,70,114; printed 3-10,3-12,5-10",Existing-building preservation survey,Researcher visually inspected selected photos; coordinator text review,"Tract ranch differs from larger architect-designed Ranch Modern. Low roofs, broad eaves and framed glazing also occur in commercial work. Examples include 4910 South Land Park Drive, former office 2729 I Street and industrial 8151 Fruitridge Road.",Selected distinctive survivors; no stock frequency or measured footprint adopted.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,/private/tmp/us-mcm.pdf
CA2,"Report 4: Missing Middle Housing Zoning, Design + Policy Recommendations",Opticos Design and consultants; City of Sacramento,2024-05,https://www.cityofsacramento.gov/content/dam/portal/cdd/Planning/Housing/Missing-Middle-Housing/Report4_MMHRecommendations_Final_Optimized.pdf,PDF/printed 49; waste p52,"Representative regulatory illustration, separate existing photograph",Researcher and coordinator visually inspected p49,"Diagram labels 18 ft street-facing wings, 67 ft overall width, 40 ft from front lot line. The photograph below is a different building.",The 40 ft label is not building depth; no whole floor plate or dwelling count established.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,/private/tmp/us-mmh.pdf
CA3,Countywide Design Guidelines — Commercial,Sacramento County,Undated live chapter,https://landuse.saccounty.gov/dg/ch4/,4.2.4–5;4.4.2;4.4.6,Municipal design guidance,Researcher text inspected; coordinator independently reopened,"Guidance connects storefront walks, equipment screening and service enclosures with site design. Proposed unobstructed storefront walk is 8 ft.",Desired redevelopment differs from existing auto-oriented corridor; not a surveyed sidewalk. Old county PDF now redirects.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
CA4,Countywide Design Guidelines — Office/Industrial,Sacramento County,Undated live chapter,https://landuse.saccounty.gov/dg/ch5/,5.2.3–4;5.4.1–2,Municipal design guidance,Researcher text inspected; coordinator independently reopened,"Reception/public business toward street; loading/manufacturing to service sides. Continuous parapets and integrated vents, rooflights and equipment are useful design controls.",Not measured ordinary office or workshop dimensions; guidance is not a prevalence survey.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
CA5,El Centro Opportunity Center Roof Improvements,CPL; City of Lorain,2025-08-07,https://www.cityoflorain.org/DocumentCenter/View/6720/CAP0002100---El-Centro-Opportunity-Center-Roof---20250807?bidId=,"A201, A450 / PDF 2–3",Retrofit construction proposal for existing building,Researcher inspected both sheets; coordinator independently inspected A450 and A201,"Stepped roof extent 84 ft 9 in; joists/metal deck, masonry parapets, curbs, crickets, internal drains and scuppers.","Completion unverified; extent not rectangular footprint. Ohio construction control, not Sacramento regional example.",No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,/private/tmp/us-lorain.pdf
CA6,SpecTopics: Energy Codes and Roof Drains,Craig Tyler; Carlisle SynTec Systems,2021-05-17,https://ch-cd.carlislesyntec.com/en/Resources/Media/Blog-Landing-Page/SpecTopics/2021/05/17/Energy-Codes-and-Roof-Drains,Worked sump example,Manufacturer calculation,Researcher text inspected,An 8 × 8 ft sump uses quarter-inch-per-foot slope; tapered insulation allows drainage without tilting the structural ceiling.,"1/4 in/ft is exactly 1:48, approximately 2%; example is not universal code or insulation thickness. Final availability recheck failed (502); no current access guarantee.",No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
LA1,Hayworth Dingbat Apartment Historic District,HistoricPlacesLA; City of Los Angeles,Evaluation 2015-01-22; report 2026-07-06,https://hpla.lacity.org/reports/e44a47b9-8d0f-4ed7-8a7f-42db91273b0e,Resource description,Documented existing district,Researcher primary text inspected,18 two-storey apartment buildings from 1956–65; six to ten units per building reported; near-flat roofs and open carports.,"Not Sacramento; no measured plans. Counts are source-reported, not window-inferred.",No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
LA2,Los Angeles Citywide Historic Context: Multi-Family Residential Development,City of Los Angeles; SurveyLA,Exact edition date unverified,https://planning.lacity.gov/odocument/1a7b1647-4516-45da-9cff-db2db3b9b440/Multi-FamilyResidentialDevelopment_1910-1980.pdf,Printed 80,Historic typology,Indexed primary text only; direct retrieval failed,Dingbat features include exterior stairs/corridors and tuck-under parking.,No inspected whole-building drawing; broad type count cannot replace Hayworth district count.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
US1,"South Bend Neighborhood Infill: Pre-approved, ready-to-build housing",City of South Bend; catalogue design team,2025-10-07,https://southbendin.gov/wp-content/uploads/2023/06/SBBT_Catalog_23-0506-lowres.pdf,"PDF 12,20,22 / printed 11,19,21","Design models, not built surveys; actual cover date overrides stale URL",Coordinator re-inspected source image this pass; Downloaded; selected plans visually inspected with PDFKit. Parent independently inspected sixplex.,"Sixplex schedule: six units, two storeys; 40 ft front width, 34 ft rear width, 66 ft body depth; 72 ft depth including stoop is rounded. Finished gross is 4,840 sq ft.",Stepped external envelope is not 40 × 72 ft solid floor. Published finished gross differs from polygon arithmetic; preserve both.,No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
NL1,"Hogekwartier te Amersfoort; appendix Ontwerp Woningprogramma, Veld 3–4",Alcedo / Municipality of Amersfoort,2018-04-25,https://www.amersfoort.nl/ro-online/NL.IMRO.0307.BP00141-0301/b_NL.IMRO.0307.BP00141-0301_rb3.pdf,"PDF 15 / printed 14, block schedule",Design proposal; beukmaat is not established external width; GBO is usable area,Coordinator re-inspected source image this pass; Downloaded 32MB PDF; schedule and axon independently visually inspected; indexed schedule differs.,"Housing programme combines flat and pitched types. Type B uses 5.1 m beukmaat and 9.4 m depth, with 109 m² GBO in the inspected schedule.","Beukmaat is structural/module width, not verified external width. GBO is usable, not game counted floor. Indexed variant table differs from inspected PDF.",No image redistribution licence established; original analytical diagrams only; source images linked.,2026-09-06/07,
